X,Y,FID,ID,Name,EmplRange,NAICSCode,NAICSTitle,NAICSDescr,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,PostalCode,BuildingNo,UnitNo,Modified,CHArea,Ward,BIA,PIN_1
-79.70669825,43.60332147,1,2791,Thai Rice,1 to 4,722512,Accommodation,Limited-service eating places,905-821-8999, , , ,www.thairice.ca,1201,Britannia Rd W,L5V 1N2, ,2,2019/09/19 00:00:00+00,East Credit NHD,11, ,4431600
-79.70669825,43.60332147,2,2792,Vintners Cellar Britannia Inc.,1 to 4,312130,Manufacturing,Wineries,905-813-3436, , ,vintnersgta@gmail.com,www.vintnerscellargta.com,1201,Britannia Rd W,L5V 1N2, ,16,2021/05/21 00:00:00+00,East Credit NHD,11, ,4431600
-79.72244246,43.58919041,3,2794,UK Insurance Brokers Inc,1 to 4,524210,Finance,Insurance Agencies and Brokerages,905-567-7003,905-567-6003, ,Info@ukinsurance.ca,www.ukinsurance.ca,1965,Britannia Rd W,L5M 4Y4, ,200,2022/06/29 00:00:00+00,Streetsville NHD,11, ,13210900
-79.72244246,43.58919041,4,2795,Prestige Pools & Leisure Products Ltd.,5 to 9,453999,Retail,All Other Miscellaneous Store Retailers (except Beer and Wine-Making Supplies Stores),905-542-1505, , ,info@prestigepools.ca,www.prestigepools.ca,1965,Britannia Rd W,L5M 4Y4, ,5,2022/06/29 00:00:00+00,Streetsville NHD,11, ,13210900
-79.72244246,43.58919041,5,2798,Grocery Cafe,1 to 4,445110,Retail,Supermarkets and Other Grocery (except Convenience) Stores,905-821-8960, , ,TheNextVentureInc@outlook.com, ,1965,Britannia Rd W,L5M 4Y4, ,4,2022/06/29 00:00:00+00,Streetsville NHD,11, ,13210900
-79.72244246,43.58919041,6,2800,Carolyn's Model and Talent Agency Ltd,1 to 4,711411,Arts,Agents and Managers for Artists  Athletes  Entertainers and Other Public Figures,905-542-8885,905-542-8887, ,info@carolynsonline.com,www.carolynsonline.com,1965,Britannia Rd W,L5M 4Y4, ,210,2019/09/23 00:00:00+00,Streetsville NHD,11, ,13210900
-79.72244246,43.58919041,7,2801,Jaz Beauty Salon,1 to 4,812115,Other Services,Beauty Salons,905-542-1716, , ,jazbeauty664@gmail.com, ,1965,Britannia Rd W,L5M 4Y4, ,8,2022/06/29 00:00:00+00,Streetsville NHD,11, ,13210900
-79.72244246,43.58919041,8,2802,Great Travel Fares,1 to 4,561510,Administrative,Travel Agencies,905-270-4111, ,1-866-483-8222,travel@greattravelfares.com,www.greattravelfares.com,1965,Britannia Rd W,L5M 4Y4, ,212,2019/09/19 00:00:00+00,Streetsville NHD,11, ,13210900
-79.72767933,43.58297581,9,2805,Dr.Nivine Ghobrial Dentistry Professional Corporation,20 to 49,621210,Health Care,Offices of Dentists,905-821-8632,905-821-4515, ,britanniadental@rogers.com, ,2258,Britannia Rd W,L5M 2G8, , ,2022/07/07 00:00:00+00,Streetsville NHD,11, ,15765600
-79.73326085,43.57772388,10,2808,Britannia Esso,5 to 9,447110,Retail,Gasoline Stations with Convenience Stores,905-821-4079, , , , ,2520,Britannia Rd W,L5M 5X7, , ,2022/07/06 00:00:00+00,Central Erin Mills NHD,9, ,5101000
-79.73326085,43.57772388,11,2809,Mr. Lube,10 to 19,811199,Other Services,All Other Automotive Repair and Maintenance,905-567-9766,416-237-0642, ,mrlube102@bellnet.ca,www.mrlube.com,2520,Britannia Rd W,L5M 5X7, , ,2022/07/06 00:00:00+00,Central Erin Mills NHD,9, ,5101000
-79.743357,43.56871161,12,2810,Britannia Auto Service Centre,1 to 4,811111,Other Services,General Automotive Repair,905-542-3141,905-542-8456, ,naris@britanniaautoservicecentre.ca, ,2990,Britannia Rd W,L5M 5P3, , ,2021/07/16 00:00:00+00,Central Erin Mills NHD,9, ,4432600
-79.743357,43.56871161,13,2811,Petro Canada,5 to 9,447190,Retail,Other Gasoline Stations,905-542-3570, , , ,www.petro-canada.ca,2990,Britannia Rd W,L5M 5P3, , ,2021/05/14 00:00:00+00,Central Erin Mills NHD,9, ,4432600
-79.69756511,43.60958348,14,2816,Heritage House Dental,10 to 19,621210,Health Care,Offices of Dentists,905-814-1600,905-814-1604, ,smile@heritagehousedental.ca,www.heritagehousedental.ca,820,Britannia Rd W,L5V 2W1, , ,2022/08/05 00:00:00+00,East Credit NHD,6, ,16685600
-79.71467835,43.58052177,15,2819,Natalie's Hair Tech,1 to 4,812115,Other Services,Beauty Salons,905-821-0725, , , , ,197,Broadway St,L5M 1H8, , ,2019/09/19 00:00:00+00,Streetsville CN,11,STR,13337700
-79.64520218,43.50404443,16,2831,Clarkson Secondary School,50 to 99,611110,Educational,Elementary and Secondary Schools,905-822-6700,905-822-6896, , ,www.clarksonss.peelschools.org,2524,Bromsgrove Rd,L5J 1L8, , ,2022/05/11 00:00:00+00,Clarkson - Lorne Park NHD,2, ,1447700
-79.72194798,43.5850537,17,2832,Dolphin Senior Public School,50 to 99,611110,Educational,Elementary and Secondary Schools,905-826-4247,905-826-9931, ,Dolphinsnr.ps@peelsb.com, ,18,Brookside Dr,L5M 1H3, , ,2022/05/11 00:00:00+00,Streetsville NHD,11, ,13338100
-79.62992489,43.64387156,18,2836,The Tanning Depot,1 to 4,414520,Wholesale,Toiletries  Cosmetics and Sundries Wholesaler-Distributors,905-625-2739,905-625-7991, , ,www.tanningdepot.com,1515,Matheson Blvd E,L4W 2P5, ,C2,2019/12/12 00:00:00+00,Northeast EA (West),5, ,10035400
